11-15  Per Capita Annual Cash Consumption Expenditure of Urban Households by Region (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,Food,,,,,"Meat,",,,,,,,,Dried and,,,,,,Clothing,,,,,Residence,,,Household,,,,,,,Transport,,,"Education,",,,,Health,Others,,
,Consumption,,Grain,Starches,Beans and,Oil and,Poultry and,Eggs,Aquatic,Vegetables,Condiments,Sugar,Tobacco,Liquor and,Fresh,Cake,Milk and,Other,Dining,Food,,Garments,Clothing,Shoes,Tailoring and,,Housing,"Water, Elec-",Facilities,Durable,Articles,Bed,Household,Furniture,Household,and,Transport,Communi-,Culture and,Recreation,Education,Recreation,Care and,,Other,Other
,Expenditure,,,and Tubers,Bean,Fats,Processed,,Products,,,,,Beverages,Melons,,Processed,Food,Out,Processing,,,Materials,,Laundering,,,"tricity, Fuels",and,Consumer,for Interior,Articles,Articles for,Materials,Services,Communi-,,cations,Recreation,Articles,,Services,Medical,,Goods,Services
,,,,,Products,,Products,,,,,,,,and Fruits,,Products,,,Service Fees,,,,,Service Fees,,,and Others,Articles,Goods,Decoration,,Daily Use,,,cations,,,,,,,Services,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Zhejiang,21545.18,7552.02,467.83,58.42,99.87,144.84,1128.30,108.24,949.22,660.54,65.02,54.47,407.55,265.03,664.99,139.95,283.59,88.76,1963.11,2.29,2109.58,1618.46,18.51,408.62,11.74,1551.69,518.22,935.45,1161.39,403.46,19.52,110.91,475.71,4.77,147.01,4133.50,3048.46,1085.04,2996.59,512.29,1457.04,1027.26,1228.02,812.39,520.90,291.49
  Anhui,15011.66,5814.92,455.44,39.51,82.67,158.16,1035.59,148.34,268.20,577.93,47.99,48.36,436.60,481.81,378.58,84.12,323.75,89.43,1156.17,2.27,1540.66,1076.97,13.71,376.59,7.95,1396.97,558.86,736.95,811.23,366.49,25.95,115.97,244.31,10.06,48.45,1809.72,1012.05,797.67,1932.74,413.61,948.12,571.01,1142.96,562.44,359.70,202.74
  Fujian,18593.21,7317.42,563.59,58.60,73.22,142.13,1484.76,131.03,1219.95,629.91,76.61,48.38,231.11,317.01,541.04,117.68,264.37,52.03,1364.83,1.16,1634.21,1268.31,4.38,314.91,6.58,1753.86,656.72,936.52,1254.71,480.41,23.29,103.72,535.75,2.41,109.14,2961.78,1924.89,1036.89,2104.83,500.82,756.09,847.92,773.22,793.17,539.23,253.95
  Jiangxi,12775.65,5071.61,437.95,30.76,90.66,200.83,1161.74,104.09,291.38,671.48,56.84,48.16,241.42,196.48,423.16,110.03,217.66,113.02,674.62,1.33,1476.63,1142.00,10.79,285.24,5.45,1173.91,318.18,773.90,966.23,336.87,23.06,105.28,442.49,10.94,47.60,1501.34,915.30,586.04,1487.30,321.57,548.65,617.08,670.71,427.93,306.16,121.77
  Shandong,15778.24,5201.32,394.36,53.85,52.92,147.07,860.31,151.22,384.33,439.17,67.06,41.38,149.42,375.43,546.77,127.56,263.62,103.51,1041.41,1.92,2196.98,1606.62,13.32,491.11,9.90,1572.35,441.13,1017.21,1125.99,534.44,37.51,94.74,406.20,12.38,40.71,2370.23,1634.99,735.24,1655.91,463.03,692.03,500.85,1005.25,650.21,495.54,154.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Henan,13732.96,4607.47,393.08,60.79,59.64,128.00,796.87,131.49,105.77,400.70,64.16,39.66,185.98,299.33,410.78,107.05,214.23,98.41,1110.10,1.45,1885.99,1395.05,9.00,426.92,10.14,1190.81,420.68,707.95,1145.42,546.23,24.77,131.34,395.96,8.92,38.21,1730.35,1125.25,605.09,1525.33,392.78,549.85,582.70,1085.47,562.13,374.84,187.29
  Hubei,14495.97,5837.93,583.33,36.74,85.61,196.98,1118.08,115.20,334.46,703.01,73.89,43.30,405.88,278.36,385.98,120.33,218.63,57.09,1078.62,2.44,1783.41,1360.76,10.12,355.10,7.18,1371.15,476.75,828.09,978.26,400.45,25.97,74.37,405.30,24.72,47.45,1476.98,867.08,609.90,1651.92,304.23,725.83,621.85,1029.55,366.78,266.04,100.74
  Hunan,14608.95,5441.63,423.53,34.21,87.86,206.38,1172.72,96.52,272.49,627.38,57.37,50.01,294.25,228.79,471.33,95.62,147.40,124.04,1049.17,2.56,1624.57,1227.60,9.79,335.64,6.91,1301.60,283.74,924.32,1034.30,377.70,23.49,101.01,442.86,25.49,63.74,2084.15,1421.93,662.23,1737.64,330.26,787.20,620.18,918.41,466.65,292.37,174.27
  Guangdong,22396.35,8258.44,544.10,44.17,65.47,185.80,2086.69,107.81,792.27,742.25,74.15,81.35,162.23,294.75,551.94,160.84,246.06,64.95,2052.64,0.99,1520.59,1152.79,2.26,318.83,6.73,2099.75,572.34,1225.80,1467.20,452.90,27.11,118.03,695.32,8.88,164.96,4176.66,2882.35,1294.31,2954.13,552.09,1078.38,1323.65,1048.28,871.30,562.67,308.63
