9-16  Per Capita Annual Consumption Expenditure of Urban Households by Region (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Transport,,,,,,,,,
,Consumption,Food,,,,,"Meat,",,,,,,,,Dried and,,,,,,Clothing,,,,,Residence,,,Household,,,,,,,Care and,and,,,"Education,",,,,Miscellaneous,,
,Expenditure,,Grain,Starches,Beans and,Oil and,Poultry,Eggs,Aquatic,Vegetables,Condiments,Sugar,Tobacco,Liquor and,Fresh,Cake,Milk and,Other,Dining,Food,,Garments,Clothing,Shoes,Tailoring and,,Housing,"Water, Elec-","Facilities,",Durable,Articles,Bed,Household,Furniture,Household,Medical,Communi-,Transport,Communi-,Culture and,Recreation,Education,Recreation,Goods,Miscellaneous,Services
,,,,and Tubers,Bean,Fats,and Processed,,Products,,,,,Beverages,Melons,,Processed,Food,Out,Processing,,,Materials,,Laundering,,,"tricity, Fuels",Articles and,Consumer,for Interior,Articles,Articles for,Materials,Services,Services,cations,,cations,Recreation,Articles,,Services,and Services,Goods,
,,,,,Products,,Products,,,,,,,,and Fruits,,Products,,,Service Fees,,,,,Service Fees,,,and Others,Services,Goods,Decoration,,Daily Use,,,,,,,Services,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  National Average,11242.85,4259.81,328.26,28.40,54.61,164.69,896.87,91.68,280.28,409.31,52.26,35.74,205.01,192.65,293.48,83.44,189.84,73.85,877.85,1.59,1165.91,839.07,10.96,270.42,7.46,1145.41,345.06,724.28,691.83,309.31,20.34,62.21,238.86,11.64,49.47,786.20,1417.12,804.41,612.71,1358.26,354.82,622.16,381.27,418.31,269.19,149.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Beijing,16460.26,5561.54,369.83,41.27,62.51,174.29,970.46,104.12,220.76,428.94,97.63,54.87,181.22,359.28,495.45,184.80,332.13,75.94,1406.74,1.31,1571.74,1101.49,16.49,390.71,13.20,1286.32,552.31,639.08,1096.57,548.55,25.83,82.72,346.66,8.10,84.71,1563.10,2293.23,1466.34,826.89,2383.52,800.12,809.25,774.16,704.24,491.66,212.57
  Tianjin,13422.47,5005.09,259.71,37.45,46.80,154.24,817.43,133.23,351.18,406.29,80.15,39.22,185.34,271.17,420.63,145.88,211.11,98.00,1346.93,0.31,1153.66,812.52,12.84,278.07,9.53,1528.28,512.98,952.98,817.18,467.75,32.13,55.96,211.86,3.97,45.50,1220.92,1567.87,889.99,677.88,1608.97,497.75,715.24,395.98,520.49,352.97,167.52
  Hebei,9086.73,3155.40,279.12,22.44,38.80,181.58,583.78,110.75,144.81,362.90,43.68,31.00,146.76,247.02,232.15,69.54,169.14,45.51,444.81,1.60,1137.22,754.78,17.14,311.31,8.90,1097.41,209.23,845.16,574.84,305.70,23.12,64.44,144.52,8.20,28.84,808.88,1062.31,556.27,506.05,946.38,373.89,386.60,185.90,304.28,187.27,117.01
  Shanxi,8806.55,2974.76,387.21,57.23,46.26,119.99,455.24,97.40,57.27,312.34,35.44,20.37,197.23,118.09,213.79,58.29,205.47,37.57,555.04,0.53,1137.71,820.81,9.61,263.38,4.45,1250.87,394.07,796.28,471.65,259.05,10.66,26.71,132.20,7.65,35.38,769.79,931.33,452.47,478.86,1041.91,214.38,570.79,256.74,228.53,126.87,101.66
  Inner Mongolia,10828.62,3553.48,352.47,27.13,29.90,118.75,712.61,62.41,97.90,290.43,39.66,24.93,223.77,243.53,248.85,43.69,159.80,156.87,719.96,0.84,1616.56,1178.43,4.93,351.57,11.76,1028.19,288.23,656.01,672.64,307.92,24.91,60.13,233.40,15.79,30.49,869.71,1191.70,719.84,471.86,1383.53,433.52,568.35,381.66,512.81,364.88,147.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Liaoning,11231.48,4378.14,318.54,19.56,49.80,167.45,774.30,120.53,318.38,462.19,65.74,28.77,242.32,265.66,385.51,95.01,213.15,74.23,774.65,2.35,1187.41,722.00,28.35,360.93,10.18,1270.95,262.32,936.51,507.40,235.46,28.15,69.43,133.01,10.96,30.40,913.13,1295.70,679.96,615.74,1145.46,287.00,670.13,188.33,533.29,282.64,250.65
  Jilin,9729.05,3307.14,314.38,34.22,64.34,132.60,633.76,83.56,155.69,406.74,46.70,26.01,123.20,138.06,353.74,57.96,126.55,82.96,524.73,1.93,1259.62,871.35,12.99,315.97,9.56,1285.28,267.28,952.28,510.49,214.28,22.12,54.19,185.96,12.70,21.25,914.47,954.96,516.17,438.78,1071.80,284.30,576.17,211.34,425.30,240.26,185.04
  Heilongjiang,8622.97,3128.10,339.24,43.28,49.84,168.67,623.80,86.54,148.20,295.64,47.56,25.76,104.19,119.86,265.84,50.92,129.59,66.48,561.90,0.79,1217.04,830.49,7.14,327.07,9.34,941.25,173.05,728.58,494.49,192.87,15.52,48.58,201.25,20.17,16.11,864.89,749.05,349.26,399.79,906.19,186.59,551.73,167.87,321.95,195.29,126.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Shanghai,19397.89,7108.62,376.65,47.08,93.18,155.47,1127.70,99.19,708.05,508.40,73.18,92.85,361.49,298.96,486.93,183.68,341.69,86.07,2067.95,0.11,1520.61,1135.21,16.49,317.75,15.02,1646.19,808.99,673.02,1182.24,545.30,42.00,114.39,335.57,5.12,139.86,755.29,3373.19,2321.78,1051.41,2874.54,834.70,1165.96,873.88,937.21,642.89,294.33
  Jiangsu,11977.55,4544.64,278.58,31.40,71.04,137.74,968.77,93.98,356.12,424.59,51.62,33.98,280.43,198.12,285.41,80.53,216.44,108.05,925.71,2.14,1166.91,856.63,12.35,250.96,9.17,1042.10,448.52,544.12,813.45,365.56,11.88,72.96,281.67,9.29,72.09,794.63,1357.96,854.38,503.58,1799.75,500.05,750.97,548.73,458.10,299.24,158.86
  Zhejiang,15158.30,5522.56,298.26,27.84,69.89,140.85,813.32,73.91,595.76,413.54,45.26,40.16,398.06,232.43,382.11,100.18,210.20,81.07,1598.97,0.75,1546.46,1184.12,12.82,306.39,8.14,1333.69,480.01,783.71,713.31,306.86,19.96,85.16,213.82,8.84,78.67,933.11,2392.63,1454.63,938.00,2195.58,438.42,1178.54,578.61,520.95,362.99,157.96
  Anhui,9524.04,3905.05,298.55,18.27,60.93,162.76,782.11,125.32,184.06,402.41,28.25,30.25,293.20,279.70,237.01,87.07,238.78,57.45,615.62,3.31,1010.61,679.29,19.36,266.78,9.63,988.12,350.85,571.11,579.59,249.32,24.08,61.71,185.41,27.50,31.57,633.93,920.77,437.85,482.92,1160.14,250.33,633.45,276.37,325.82,181.69,144.12
  Fujian,12501.12,5078.85,387.25,29.24,57.60,151.94,1116.29,99.30,859.07,423.27,57.84,32.03,161.16,193.78,308.30,66.91,201.42,46.31,886.66,0.50,1105.31,862.22,2.92,209.61,3.19,1300.10,392.70,827.08,722.17,320.38,12.12,55.82,249.70,5.87,78.29,540.63,1777.06,929.07,847.99,1453.18,335.87,686.35,430.96,523.83,306.06,217.77
  Jiangxi,8717.37,3633.05,307.89,12.96,62.86,216.77,898.50,77.53,212.70,489.66,40.92,29.24,157.53,98.46,248.77,64.87,169.30,107.13,436.51,1.45,969.58,739.16,11.49,193.20,4.35,851.15,166.67,648.09,623.17,229.82,13.50,54.06,280.39,17.44,27.95,483.96,872.57,401.45,471.12,945.99,234.75,388.48,322.77,337.91,217.52,120.39
  Shandong,11006.61,3699.42,311.59,26.29,43.68,135.90,657.95,123.40,263.11,318.65,47.85,27.68,110.75,245.59,319.58,97.26,215.95,77.47,675.17,1.55,1394.11,996.87,12.06,321.70,8.24,1247.04,411.37,779.73,806.35,426.80,37.28,60.57,236.81,11.39,33.50,799.79,1410.45,898.17,512.28,1277.43,434.99,580.10,262.34,372.01,264.73,107.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
