10-16  Per Capita Annual Consumption Expenditure of Urban Households by Region (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,Food,,,,,,,,,,,,,,,,,,,Clothing,,,,,Residence,,,,,,,,,,,,,,,,,,,,
,Consumption,,Grain,Starches,Beans and,Oil and,"Meat,",Eggs,Aquatic,Vegetables,Condiments,Sugar,Tobacco,Liquor and,Dried and,Cake,Milk and,Other,Dining,Food,,Garments,Clothing,Shoes,Tailoring and,,Housing,"Water, Elec-",Household,Durable,Articles,Bed,Household,Furniture,Household,Care and,and,Transport,Communi-,"Education,",Recreation,Education,Recreation,Miscellaneous,Miscellaneous,Services
,Expenditure,,,and Tubers,Bean,Fats,Poultry and,,Products,,,,,Beverages,Fresh,,Processed,Food,Out,Processing,,,Materials,,Laundering,,,"tricity, Fuels","Facilities,",Consumer,for Interior,Articles,Articles for,Materials,Services,Medical,Communi-,,cations,Culture and,Articles,,Services,Goods,Goods,
,,,,,Products,,Processed,,,,,,,Beverages,Melons,,Products,,,Service Fees,,,,,Service Fees,,,and Others,Articles and,Goods,Decoration,,Daily Use,,,Services,cations,,,Recreation,,,,and Services,,
,,,,,,,Products,,,,,,,,and Fruits,,,,,,,,,,,,,,Services,,,,,,,,,,,Services,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Zhejiang,17858.20,6118.46,364.15,40.80,82.66,117.84,845.32,85.88,713.79,543.17,54.28,46.73,413.12,256.99,491.58,109.27,219.84,77.86,1653.25,1.95,1802.29,1397.19,16.74,339.41,9.64,1418.00,493.48,846.73,916.16,380.50,29.67,90.85,323.22,6.47,85.45,1033.70,3437.15,2488.84,948.30,2586.09,530.30,1234.09,821.69,546.36,338.97,207.39
  Anhui,11512.55,4369.63,337.74,22.52,68.55,113.86,742.07,125.39,211.35,472.44,42.23,19.91,345.48,359.12,286.14,91.58,241.78,104.18,782.30,2.98,1225.56,858.36,10.71,303.44,10.65,1229.64,472.48,636.02,678.75,301.86,25.55,73.91,220.35,22.31,34.77,737.05,1356.57,732.47,624.10,1479.75,320.77,696.88,462.10,435.62,247.23,188.39
  Fujian,14750.01,5790.72,469.71,44.02,72.96,120.13,1152.92,112.40,999.62,543.68,67.26,39.44,176.06,261.05,411.69,87.77,203.15,44.39,983.66,0.81,1281.25,990.57,5.37,248.13,4.58,1606.27,612.43,871.63,972.24,426.87,13.89,71.19,360.46,7.49,92.34,617.36,2196.88,1291.81,905.07,1786.00,450.95,605.27,729.78,499.30,308.65,190.65
  Jiangxi,10618.69,4195.38,353.11,23.81,86.22,164.49,916.40,89.11,254.69,581.89,51.35,39.31,207.44,136.82,345.92,86.13,171.04,96.92,589.09,1.64,1138.84,860.89,8.83,235.28,5.98,1109.82,349.00,715.25,854.60,410.08,13.17,62.63,307.38,18.55,42.79,524.22,1270.28,733.03,537.25,1179.89,278.67,473.81,427.41,345.66,218.91,126.75
  Shandong,13118.24,4205.88,343.91,36.97,53.77,107.28,682.72,132.17,321.62,401.49,55.60,32.16,128.31,294.71,403.26,107.78,225.43,89.00,788.18,1.54,1745.20,1271.50,11.88,391.33,8.74,1408.64,399.65,919.71,915.00,455.94,39.13,68.68,309.67,12.07,29.51,885.79,2140.42,1524.57,615.85,1401.77,422.60,606.57,372.59,415.55,299.76,115.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Henan,10838.49,3575.75,349.36,48.11,60.95,105.41,611.01,110.61,78.49,373.02,55.32,27.62,158.35,224.66,288.11,79.69,170.31,72.35,761.04,1.34,1444.63,1061.35,7.35,329.56,8.31,1080.10,345.89,673.51,866.72,444.66,20.27,78.86,280.96,10.39,31.57,941.32,1374.76,813.55,561.21,1137.16,344.49,396.34,396.33,418.04,256.92,161.12
  Hubei,11450.97,4429.30,516.40,29.69,83.47,152.31,853.27,96.35,267.47,615.32,68.05,34.30,280.32,177.09,265.53,95.33,146.55,49.03,697.16,1.67,1415.68,1067.18,7.42,299.32,6.09,1187.54,397.56,706.72,867.33,398.27,22.49,59.95,336.68,24.43,25.52,709.58,1205.48,706.04,499.44,1263.16,228.95,607.30,426.92,372.90,228.65,144.25
  Hunan,11825.33,4322.09,329.92,24.13,80.32,164.97,918.32,75.51,219.42,512.80,50.63,38.94,250.42,162.11,348.30,72.24,128.30,92.83,850.94,1.99,1277.47,946.42,8.34,280.73,6.49,1182.33,319.54,790.24,903.81,379.81,24.29,70.87,363.70,11.18,53.96,776.85,1541.40,896.91,644.49,1418.85,301.16,605.47,512.22,402.52,250.99,151.53
  Guangdong,18489.53,6746.62,460.12,35.60,59.75,142.28,1640.60,83.75,657.73,615.84,58.80,63.92,146.00,216.23,432.64,133.63,211.35,52.94,1734.51,0.91,1230.72,914.49,1.31,271.77,5.38,1925.21,562.43,1103.53,1208.03,412.48,29.25,99.78,508.90,5.21,152.41,929.50,3419.74,2248.69,1171.05,2375.96,532.78,825.40,1017.79,653.76,428.13,225.62
